Date,Description,Amount
2025-06-01,Office Depot,-120.50
2025-06-02,Google Ads,-300.00
2025-06-03,Client Payment,1500.00
2025-06-04,Starbucks,-15.75
2025-06-05,Amazon Web Services,-200.00
2025-06-06,Payroll,-2500.00
2025-06-07,Internet Bill,-80.00
2025-06-08,Client Payment,2000.00
2025-06-09,Travel Expense,-450.00
2025-06-10,Office Rent,-1200.00
2025-06-11,Utilities,-300.00
2025-06-12,Marketing Agency,-600.00
2025-06-13,Client Payment,1800.00
2025-06-14,Restaurant,-90.00
2025-06-15,Insurance,-400.00
2025-06-16,Client Payment,1700.00
2025-06-17,Office Supplies,-75.00
2025-06-18,Software Subscription,-50.00
2025-06-19,Client Payment,1600.00
2025-06-20,Legal Fees,-350.00
2025-06-21,Client Payment,1400.00
2025-06-22,Maintenance,-200.00
2025-06-23,Client Payment,1300.00
2025-06-24,Other Expense,-100.00
